Algoritm :  Lambda (x) = 16081464 / Harmonic number (x)


Lambda NIST;Harmonic number 
Au I;Au I
358,673;44836
 Au I; Au I
364,502;44119
 Au I; Au I
390,109;41223
 Au II; Au II
161,665;99474
 Au II; Au II
291,352;55196
 Au III; Au III
142,893;112542
 Ca III; Ca III
197,8551;81279
 Ca III; Ca III
212,6812;75613
 Ca III; Ca III
532,1288;30221
 Ca III; Ca III
799,357;20118
 Cr I; Cr I
233,298;68931
 Cr I; Cr I
236,513;67994
 Cr I; Cr I
243,81;65959
 Cr I; Cr I
289,824;55487
 Cr I; Cr I
304,3714;52835
 Cr I; Cr I
307,36743;52320
 Cr I; Cr I
319,2287;50376
 Cr I; Cr I
335,786;47892
 Cr I; Cr I
336,552;47783
 Cr I; Cr I
350,168;45925
 CrI; CrI
350,3053;45907
 Cr II; Cr II
117,54855;136807
 Cr II; Cr II
123,67027;130035
 Cr II; Cr II
123,67027;130035
 Cr II; Cr II
144,58887;111222
 Cr II; Cr II
148,13025;108563
 Cr II; Cr II
150,73499;106687
 Cr II; Cr II
151,2738;106307
 Cr II; Cr II
163,41789;98407
 Cr II; Cr II
168,08078;95677
 Cr II; Cr II
170,0105;94591
 Cr II; Cr II
172,0237;93484
 Cr II; Cr II
179,76352;89459
 Cr II; Cr II
182,5344;88101
 Cr II; Cr II
182,5344;88101
 Cr II; Cr II
183,99002;87404
 Cr II; Cr II
208,91531;76976
 Cr II; Cr II
211,8407;75913
 Cr II; Cr II
224,997395;71474
 Cr II; Cr II
230,6876;69711
 Cr II; Cr II
232,52888;69159
 Cr II; Cr II
235,3293;68336
 Cr II; Cr II
244,70039;65719
 Cr II; Cr II
245,08821;65615
 Cr II; Cr II
245,40612;65530
 Cr II; Cr II
246,57635;65219
 Cr II; Cr II
251,548;63930
 Cr II; Cr II
251,91052;63838
 Cr II; Cr II
253,69487;63389
 Cr II; Cr II
255,57372;62923
 Cr II; Cr II
259,30736;62017
 Cr II; Cr II
260,49186;61735
 Cr II; Cr II
262,97956;61151
 Cr II; Cr II
264,2978;60846
 Cr II; Cr II
265,20876;60637
 Cr II; Cr II
267,98868;60008
 Cr II; Cr II
268,50322;59893
 Cr II; Cr II
270,8685;59370
 Cr II; Cr II
273,95553;58701
 Cr II; Cr II
281,046191;57220
 Cr II; Cr II
281,08058;57213
 Cr II; Cr II
288,9803;55649
 Cr II; Cr II
297,479878;54059
 Cr II; Cr II
313,44215;51306
 Cr IV; Cr IV
136,739;117607
 Cr V; Cr V
104,6364;153689
 Cr V; Cr V
120,4126;133553
 Cr V; Cr V
157,9696;101801
 Dy I; Dy I
421,124;38187
 Dy II; Dy II
293,452;54801
 Dy II; Dy II
332,619;48348
 Dy II; Dy II
353,602;45479
 Er I; Er I
434,834;36983
 Er I; Er I
658,348;24427
 Er I; Er I
803,591;20012
 Er II; Er II
307,074;52370
 Er III; Er III
310,04;51869
 Eu I; Eu I
306,6933;52435
 Eu I; Eu I
563,254;28551
 Eu II; Eu II
268,566;59879
 Eu II; Eu II
295,947;54339
 Eu II; Eu II
412,97;38941
 Eu II; Eu II
417,516;38517
 Eu III; Eu III
243,677;65995
 Eu III; Eu III
302,34;53190
 Fe II; Fe II
109,6603;146648
 Fe II; Fe II
110,043;146138
 Fe II; Fe II
120,7299;133202
 Fe II; Fe II
121,8062;132025
 Fe II; Fe II
128,5684;125081
 Fe II; Fe II
132,0404;121792
 Fe II; Fe II
132,8783;121024
 Fe II; Fe II
132,8783;121024
 Fe II; Fe II
133,041;120876
 Fe II; Fe II
133,041;120876
 Fe II; Fe II
133,041;120876
 Fe II; Fe II
136,7297;117615
 Fe II; Fe II
140,474;114480
 Fe II; Fe II
141,5572;113604
 Fe II; Fe II
142,7484;112656
 Fe II; Fe II
144,3125;111435
 Fe II; Fe II
146,1141;110061
 Fe II; Fe II
148,7138;108137
 Fe II; Fe II
149,3283;107692
 Fe II; Fe II
149,45877;107598
 Fe II; Fe II
151,914;105859
 Fe II; Fe II
153,8631;104518
 Fe II; Fe II
154,198;104291
 Fe II; Fe II
156,4436;102794
 Fe II; Fe II
158,9973;101143
 Fe II; Fe II
165,6346;97090
 Fe II; Fe II
165,6346;97090
 Fe II; Fe II
166,60586;96524
 Fe II; Fe II
184,431035;87195
 Fe II; Fe II
188,1203;85485
 Fe II; Fe II
188,36489;85374
 Fe III; Fe III
91,73891;175296
 Fe III; Fe III
92,7265;173429
 Fe III; Fe III
96,3083;166979
 Fe III; Fe III
96,3083;166979
 Fe III; Fe III
100,9242;159342
 Fe III; Fe III
101,37783;158629
 Fe III; Fe III
103,1068;155969
 Fe III; Fe III
106,3406;151226
 Fe III; Fe III
107,0556;150216
 Fe III; Fe III
110,5506;145467
 Fe III; Fe III
111,6683;144011
 Fe III; Fe III
115,8173;138852
 Fe III; Fe III
123,83407;129863
 Fe III; Fe III
126,0372;127593
 Fe III; Fe III
129,1269;124540
 Fe III; Fe III
131,9873;121841
 Fe III; Fe III
138,0881;116458
 Fe III; Fe III
138,4352;116166
 Fe III; Fe III
139,3831;115376
 Fe III; Fe III
146,21108;109988
 Fe III; Fe III
156,13982;102994
 Fe III; Fe III
156,8954;102498
 Fe III; Fe III
159,3897;100894
 Fe III; Fe III
166,1892;96766
 Fe III; Fe III
173,7541;92553
 Fe III; Fe III
175,2347;91771
 Fe III; Fe III
184,3528;87232
 Fe III; Fe III
184,3528;87232
 Fe III; Fe III
184,6004;87115
 Fe III; Fe III
187,8544;85606
 Fe IV; Fe IV
156,246;102924
 Fe IV; Fe IV
165,843;96968

